TITLE,MoSe2
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,26/01/20
TIME,16:29:21
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   91.5759
LASTX,  754.4042
NPOINTS,    1024
XYDATA
319.5989,179.5
320.2708,177
320.9426,178.5
321.6142,179.5
322.2857,178
322.9570,178.5
323.6282,177
324.2993,175.5
324.9702,175.5
325.6410,175.5
326.3116,176
326.9821,175
327.6525,175
328.3227,175.5
328.9928,175
329.6628,176.5
330.3326,175
331.0022,174.5
331.6718,175.5
332.3412,175.5
333.0104,175
333.6795,174
334.3485,174.5
335.0174,176
335.6861,175.5
336.3546,175
337.0231,175.5
337.6914,174
338.3595,175.5
339.0275,175
339.6954,174.5
340.3632,176
341.0307,176.5
341.6982,174.5
342.3655,176
343.0327,176.5
343.6998,175
344.3667,175
345.0334,175
345.7001,176
346.3666,175.5
347.0329,175.5
347.6992,175
348.3652,176
349.0312,176
349.6970,176
350.3627,174.5
351.0282,175.5
351.6936,176
352.3589,176
353.0240,176
353.6890,175.5
354.3538,177.5
355.0185,174.5
355.6831,176.5
356.3475,176.5
357.0118,176.5
357.6760,175.5
358.3400,177
359.0038,177
359.6676,176
360.3312,176.5
360.9947,177
361.6580,177.5
362.3212,176.5
362.9843,177.5
363.6472,176
364.3100,176.5
364.9726,177
365.6351,176.5
366.2975,175.5
366.9597,176.5
367.6218,176.5
368.2838,178
368.9456,177.5
369.6073,176
370.2688,175.5
370.9302,177
371.5915,174.5
372.2527,175
372.9137,176.5
373.5745,176.5
374.2353,176.5
374.8958,176.5
375.5563,176
376.2166,175.5
376.8768,175.5
377.5368,175
378.1967,177
378.8565,175.5
379.5161,176
380.1757,175
380.8350,175.5
381.4942,176.5
382.1533,175.5
382.8123,175.5
383.4711,176
384.1298,174.5
384.7883,174.5
385.4467,173
386.1050,176
386.7631,175.5
387.4211,175.5
388.0790,174.5
388.7367,176
389.3943,175.5
390.0517,175.5
390.7090,176.5
391.3662,174.5
392.0233,174.5
392.6802,174.5
393.3369,176.5
393.9936,177
394.6501,176
395.3064,175
395.9626,176
396.6187,175.5
397.2747,175
397.9305,177
398.5862,174
399.2418,176.5
399.8972,176.5
400.5524,176
401.2076,175
401.8626,175.5
402.5174,175.5
403.1722,175.5
403.8268,176
404.4812,176.5
405.1355,174.5
405.7897,175
406.4438,177.5
407.0977,175.5
407.7515,175.5
408.4051,176
409.0586,176.5
409.7120,176
410.3652,176.5
411.0183,176.5
411.6713,178
412.3242,177.5
412.9768,176.5
413.6294,178.5
414.2818,177.5
414.9341,177.5
415.5863,179
416.2383,180
416.8902,183.5
417.5419,185.5
418.1935,186
418.8450,182
419.4964,179.5
420.1476,179
420.7986,178
421.4496,178.5
422.1004,177.5
422.7511,179
423.4016,177
424.0520,177
424.7022,177
425.3524,178.5
426.0024,178.5
426.6522,178.5
427.3019,178.5
427.9515,179
428.6010,179
429.2503,180
429.8995,180
430.5486,181
431.1974,180.5
431.8462,180
432.4949,180
433.1434,179.5
433.7918,180.5
434.4400,179.5
435.0881,181.5
435.7361,179.5
436.3839,180
437.0316,180
437.6792,181
438.3266,181
438.9739,181.5
439.6211,182
440.2681,181.5
440.9150,181.5
441.5618,181.5
442.2084,182.5
442.8549,181
443.5013,181.5
444.1475,182.5
444.7936,180.5
445.4395,180.5
446.0853,180.5
446.7310,184
447.3766,180
448.0220,181
448.6673,182.5
449.3124,180
449.9575,180.5
450.6023,183
451.2471,180.5
451.8917,183.5
452.5362,182.5
453.1805,185.5
453.8247,183
454.4688,184
455.1128,183
455.7566,183.5
456.4002,183.5
457.0438,182.5
457.6872,182
458.3305,181.5
458.9736,180.5
459.6166,181
460.2595,180.5
460.9023,181.5
461.5449,180
462.1873,178.5
462.8297,178
463.4719,178.5
464.1140,176
464.7559,175.5
465.3977,177
466.0394,176
466.6809,176
467.3223,176
467.9636,174.5
468.6047,174
469.2457,176
469.8866,174
470.5273,175.5
471.1679,175.5
471.8084,174.5
472.4487,175
473.0890,173
473.7290,174
474.3690,173
475.0088,174
475.6484,174.5
476.2880,175
476.9274,175.5
477.5667,174
478.2058,175
478.8448,174.5
479.4837,175
480.1224,174.5
480.7610,174
