TITLE,MoSe2
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,26/01/20
TIME,16:25:39
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   91.5759
LASTX,  754.4042
NPOINTS,    1024
XYDATA
352.3589,176.5
353.0240,177
353.6890,178
354.3538,176
355.0185,177
355.6831,176.5
356.3475,179.5
357.0118,177.5
357.6760,177.5
358.3400,176.5
359.0038,177.5
359.6676,178
360.3312,177
360.9947,177.5
361.6580,176.5
362.3212,177.5
362.9843,176.5
363.6472,178
364.3100,176
364.9726,177
365.6351,176.5
366.2975,177
366.9597,179
367.6218,176
368.2838,177
368.9456,177
369.6073,177
370.2688,176.5
370.9302,177
371.5915,174.5
372.2527,176
372.9137,175.5
373.5745,176.5
374.2353,176
374.8958,177.5
375.5563,175
376.2166,177.5
376.8768,176.5
377.5368,177.5
378.1967,176.5
378.8565,176.5
379.5161,176.5
380.1757,176.5
380.8350,174.5
381.4942,176
382.1533,176
382.8123,176
383.4711,176
384.1298,176
384.7883,177
385.4467,176.5
386.1050,175.5
386.7631,176
387.4211,175
388.0790,176
388.7367,176.5
389.3943,176
390.0517,176.5
390.7090,176
391.3662,176
392.0233,176
392.6802,175.5
393.3369,176
393.9936,175
394.6501,177.5
395.3064,175
395.9626,176
396.6187,176.5
397.2747,176
397.9305,176.5
398.5862,175.5
399.2418,177
399.8972,175
400.5524,176.5
401.2076,176
401.8626,176.5
402.5174,177
403.1722,176
403.8268,176.5
404.4812,176
405.1355,175.5
405.7897,177
406.4438,176.5
407.0977,177.5
407.7515,176
408.4051,176.5
409.0586,176.5
409.7120,177.5
410.3652,177
411.0183,176.5
411.6713,178
412.3242,177.5
412.9768,177
413.6294,178
414.2818,178.5
414.9341,179
415.5863,179
416.2383,182.5
416.8902,184
417.5419,187
418.1935,188
418.8450,183.5
419.4964,179.5
420.1476,178.5
420.7986,178.5
421.4496,180
422.1004,179
422.7511,178
423.4016,177.5
424.0520,178
424.7022,178
425.3524,177
426.0024,179
426.6522,178
427.3019,179
427.9515,179.5
428.6010,180
429.2503,180.5
429.8995,179.5
430.5486,182
431.1974,181
431.8462,181
432.4949,181
433.1434,180.5
433.7918,181
434.4400,181.5
435.0881,182
435.7361,180
436.3839,180.5
437.0316,179.5
437.6792,180
438.3266,182
438.9739,180
439.6211,180.5
440.2681,180.5
440.9150,181
441.5618,181.5
442.2084,182
442.8549,181.5
443.5013,182
444.1475,182.5
444.7936,181.5
445.4395,183.5
446.0853,180.5
446.7310,182.5
447.3766,181
448.0220,182.5
448.6673,182
449.3124,183
449.9575,182.5
450.6023,182.5
451.2471,182.5
451.8917,185
452.5362,184.5
453.1805,182
453.8247,183
454.4688,185
455.1128,184
455.7566,183
456.4002,184
457.0438,183
457.6872,185
458.3305,183
458.9736,181.5
459.6166,181
460.2595,182.5
460.9023,181
461.5449,179.5
462.1873,179.5
462.8297,178.5
463.4719,178.5
464.1140,177
464.7559,177.5
465.3977,177.5
466.0394,177
466.6809,177.5
467.3223,175.5
467.9636,174.5
468.6047,174
469.2457,176
469.8866,175.5
470.5273,175
471.1679,175
471.8084,175
472.4487,175.5
473.0890,174.5
473.7290,176
474.3690,174
475.0088,174
475.6484,174.5
476.2880,174.5
476.9274,174
477.5667,174.5
478.2058,174.5
478.8448,174
479.4837,174
480.1224,174
480.7610,173.5
481.3995,173.5
482.0378,175
482.6761,174
483.3141,174.5
483.9521,174
484.5899,175
485.2276,173
485.8651,174.5
486.5025,173.5
487.1398,174
487.7769,173.5
488.4140,175
489.0508,173.5
489.6876,174
490.3242,174.5
490.9607,176
491.5970,174
492.2333,174
492.8694,173.5
493.5053,175.5
494.1411,175.5
494.7768,173.5
495.4124,174.5
496.0478,175.5
496.6831,173
497.3182,176
497.9533,174
498.5882,175
499.2229,174.5
499.8576,175
500.4921,174
501.1264,175
501.7607,174.5
502.3947,174
503.0287,175
503.6626,175
504.2963,175
504.9298,174
505.5633,175.5
506.1966,175.5
506.8298,174.5
507.4628,176
508.0957,175
508.7285,176
509.3611,176
509.9937,176
510.6261,176
511.2583,175.5
511.8904,176
512.5224,175
513.1543,176
513.7860,176.5
514.4176,176
515.0491,176.5
515.6804,176
516.3116,175.5
516.9427,175
517.5736,174.5
518.2044,175.5
518.8351,176
519.4656,175
520.0960,176
520.7263,176
521.3564,174.5
521.9865,176
522.6163,175
523.2461,174
523.8757,174.5
524.5052,175
525.1346,176
525.7638,174
526.3929,174.5
527.0219,177
527.6507,178
528.2794,173.28
528.9080,173.28
529.5364,174.281
530.1647,175.5
530.7929,175
531.4210,174.5
532.0488,174.5
532.6766,175
533.3043,174.5
533.9318,175
534.5592,174.5
535.1865,174
535.8136,175
536.4406,175
537.0674,173
537.6942,172.5
538.3208,174
538.9473,173.5
539.5736,175
540.1998,175
540.8259,175
541.4518,175
542.0777,175
542.7034,174
543.3289,175.5
543.9543,174
544.5797,174
545.2048,174
545.8299,174.5
546.4548,173.5
547.0795,174
547.7042,174
548.3287,174.5
548.9531,174.5
549.5773,173
550.2015,175.5
550.8254,174
551.4493,174.5
552.0731,175.5
552.6967,175
553.3201,174.5
553.9435,173
554.5667,175
555.1898,174.5
555.8127,174.5
556.4355,175.5
557.0582,175.5
557.6808,175
558.3032,175
558.9255,175.5
559.5477,175.5
560.1697,175.5
560.7916,174.5
561.4134,175.5
562.0350,176.5
562.6566,175
563.2780,176
563.8992,177
564.5203,177
565.1414,176
565.7622,176
566.3829,178
567.0035,176.5
567.6240,178
568.2444,177.5
568.8646,176.5
569.4847,178.5
570.1047,178
570.7245,178
571.3442,178
571.9637,179
572.5832,177.5
573.2025,179.5
573.8217,178.5
574.4407,178
575.0597,179.5
575.6785,180.5
576.2971,180
576.9156,180.5
577.5341,179.5
578.1523,179
578.7705,179.5
579.3885,180.5
580.0064,180
580.6241,180
581.2418,182
581.8593,181.5
582.4766,179.5
583.0939,181
583.7110,182
584.3280,181.5
584.9448,181
585.5616,182
586.1782,182
586.7946,180.5
587.4109,180.5
588.0272,179
588.6432,180
589.2592,180
589.8750,181
590.4907,180
591.1063,182
591.7217,181.5
592.3370,180
592.9522,181
593.5672,180.5
594.1821,180.5
594.7969,181.5
595.4116,183
596.0261,182
596.6405,181.5
597.2548,180
597.8690,180.5
598.4830,182
599.0969,181
599.7106,180
600.3242,182
600.9377,179.5
601.5511,181.5
602.1644,179
602.7775,178
603.3904,180
604.0033,178
604.6160,178
605.2286,178.5
605.8411,179
606.4535,177
607.0657,176
607.6778,177
608.2897,176.5
608.9016,176.5
609.5132,174.5
610.1248,175.5
610.7363,176
611.3476,174.5
611.9588,175
612.5699,175.5
613.1808,175
613.7916,175
614.4023,174.5
615.0128,174.5
615.6232,175.5
616.2335,175
616.8437,175
617.4537,174.5
618.0637,174.5
618.6734,175
619.2831,174.5
619.8926,175.5
620.5020,173.5
621.1113,176.5
621.7204,174
622.3294,173.5
622.9383,174
623.5471,174
624.1557,173
624.7642,173
625.3726,174.5
625.9808,175
626.5889,173
627.1969,173
627.8048,176
628.4125,174.5
629.0201,175
629.6276,175
630.2350,173.5
630.8422,174.5
631.4493,174
632.0563,174
632.6631,174.5
633.2698,173.5
633.8764,173.5
634.4828,172
635.0892,174
635.6954,174
636.3015,173
636.9074,175
637.5132,174.5
638.1190,174.5
638.7245,173.5
639.3300,174
639.9352,174
640.5405,174
641.1455,173.5
641.7504,174.5
642.3552,174
642.9599,173
643.5645,173
644.1689,175
644.7732,174
645.3774,173
645.9814,172.5
646.5853,174.5
647.1891,175
647.7928,174.5
648.3963,173.5
648.9997,174
649.6030,174.5
650.2062,175
650.8092,174
651.4120,174
652.0148,175
652.6175,175.5
653.2200,174.5
653.8224,173.5
654.4247,174.5
655.0268,174.5
655.6288,174
656.2307,173
656.8325,173
657.4341,173.5
658.0356,173.5
658.6370,173.5
659.2382,174.5
659.8394,174.5
660.4404,173.5
661.0413,174.5
661.6420,175
662.2426,174
662.8431,173.5
663.4435,174
664.0437,173.5
664.6439,174.5
665.2438,174
665.8437,174.5
666.4434,174.5
667.0430,175
667.6425,173.5
668.2419,175
668.8411,174.5
669.4402,175
670.0392,175
670.6381,174.5
671.2368,176
671.8354,174.5
672.4338,174
673.0322,175
673.6304,175
674.2285,174
674.8265,174
675.4243,174
676.0220,175
676.6196,173
677.2171,174
677.8145,173.5
678.4116,174.5
679.0087,174
679.6057,174.5
680.2025,174.5
680.7993,173.5
681.3958,175
681.9923,174
682.5886,174.5
683.1848,175
683.7809,174.5
684.3768,173.5
684.9727,173
685.5684,174.5
686.1640,174.5
686.7594,174.5
687.3547,174
687.9500,174
688.5450,174
689.1400,174
689.7348,173.5
690.3295,174
690.9241,174
691.5186,174.5
692.1129,173.5
692.7070,174
693.3011,174
693.8951,174.5
694.4889,174
695.0826,174.5
695.6761,174
696.2696,175
696.8629,174
697.4561,173
698.0492,173.5
698.6422,174.5
699.2350,174.5
699.8277,174
700.4202,174.5
701.0127,174.5
701.6050,174.5
702.1972,174
702.7892,173
703.3812,172.5
703.9730,174
704.5648,173.5
705.1563,173
705.7477,173.5
706.3391,174
706.9302,173
707.5214,173.5
708.1123,175
708.7031,174.5
709.2938,174.5
709.8843,174.5
710.4748,175
711.0651,174
711.6553,174
712.2454,175
712.8353,174.5
713.4252,173.5
714.0149,175
714.6044,174
715.1939,173.5
715.7832,174
716.3724,173.5
716.9615,175
717.5505,174.5
718.1393,176
718.7280,174.5
719.3165,173
719.9050,175
720.4933,175.5
721.0815,176
721.6696,174.5
722.2576,174
722.8454,175.5
723.4331,175.5
724.0207,174
724.6082,175.5
725.1955,173.5
725.7827,175.5
726.3698,173.5
726.9567,174.5
727.5436,174.5
728.1303,174
728.7169,173.5
729.3033,174.5
729.8897,175
730.4759,174
731.0620,175
731.6479,174
732.2338,174.5
732.8195,174
733.4052,175.5
733.9906,174.5
734.5759,174.5
735.1612,175
735.7463,175
736.3312,175.5
736.9161,174
737.5009,174.5
738.0854,175
738.6699,175.5
739.2543,175.5
739.8385,175
740.4226,176
741.0066,176
741.5905,175
742.1742,177
742.7578,175.5
743.3413,174
743.9247,175
744.5079,175
745.0911,175
745.6741,175.5
746.2570,176.5
746.8397,175
747.4223,176.5
748.0048,174.5
748.5872,175.5
749.1694,175
749.7516,175
750.3336,176.5
750.9155,175.5
751.4973,177
752.0789,175
752.6604,174.5
753.2418,176
753.8231,175.5
754.4042,175.5

##### Extended Information
[コメント情報]
試料名,MoSe2
コメント,
測定者,Goto
所属
会社,奈良先端科学技術大学

[データ情報]
作成日時,2026/01/20 16:25

データタイプ,不等間隔データ
横軸,Raman Shift [cm-1]
縦軸,Int.
スタート,91.5759 cm-1
エンド,754.404 cm-1
データ数,1024    

[測定情報]
機種名,NRS-5100
シリアル番号,C008561420

測定日時,2026/01/20 16:25

露光時間,50 sec
積算回数,2
中心波数,440.92 cm-1
Zステージ位置,17454.6 um
ビニング上限,90
ビニング下限,149
有効チャンネル範囲,1 - 1024
Shift Speed,32.25 usecs
Amplitude,Normal
Readout Rate,100kHz at 16-bit
Pre-Amplifier Gain,1x
Mode,Conventional
CCD,DU420_OE,12

励起波長,532.05 nm
分光器,シングル
グレーティング,2400 l/mm
スリット幅,10 x 1000 um
アパーチャー,φ4000 um
リジェクションフィルター,532.0 nm
分解,0.25 cm-1, 0.65 cm-1/pixel
対物レンズ,MPLFLN 100 x
BS/DM,BS 30/70
レーザー強度,0.7 mW
減光器,5%(OD1.3)
宇宙線除去,On
CCD温度,-69.0 C

