TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/04/22
TIME,12:50:13
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.482117
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,  999.9101
LASTX, 7000.3350
NPOINTS,   12447
FIRSTY,     0.50109
MAXY,     3.61490
MINY,     0.04328
XYDATA
999.9101,0.50109
1000.3922,0.500364
1000.8743,0.499658
1001.3564,0.49898
1001.8386,0.498343
1002.3207,0.497754
1002.8028,0.497212
1003.2849,0.4967
1003.7670,0.496199
1004.2491,0.495691
1004.7313,0.495172
1005.2134,0.494647
1005.6955,0.494129
1006.1776,0.493623
1006.6597,0.493128
1007.1418,0.492632
1007.6240,0.492127
1008.1061,0.491608
1008.5882,0.491081
1009.0703,0.490558
1009.5524,0.490049
1010.0345,0.489563
1010.5167,0.489101
1010.9988,0.488665
1011.4809,0.488253
1011.9630,0.487868
1012.4451,0.487514
1012.9272,0.487199
1013.4094,0.486932
1013.8915,0.486721
1014.3736,0.486577
1014.8557,0.486506
1015.3378,0.48651
1015.8199,0.486587
1016.3021,0.486729
1016.7842,0.486929
1017.2663,0.48718
1017.7484,0.487483
1018.2305,0.487851
1018.7126,0.488308
1019.1948,0.488887
1019.6769,0.489625
1020.1590,0.49055
1020.6411,0.491682
1021.1232,0.493029
1021.6053,0.494597
1022.0875,0.4964
1022.5696,0.498464
1023.0517,0.500819
1023.5338,0.503492
1024.0160,0.506502
1024.4980,0.509859
1024.9802,0.513575
1025.4623,0.517672
1025.9445,0.522182
1026.4265,0.527135
1026.9087,0.532542
1027.3907,0.538387
1027.8729,0.544632
1028.3550,0.551234
1028.8372,0.558157
1029.3192,0.565383
1029.8014,0.572898
1030.2834,0.580675
1030.7656,0.588652
1031.2477,0.596728
1031.7299,0.604768
1032.2119,0.612621
1032.6941,0.620128
1033.1761,0.627134
1033.6583,0.633488
1034.1404,0.639045
1034.6226,0.643663
1035.1046,0.647209
1035.5868,0.649559
1036.0688,0.650617
1036.5510,0.65032
1037.0331,0.648661
1037.5153,0.645693
1037.9973,0.641528
1038.4795,0.636317
1038.9615,0.630238
1039.4437,0.623474
1039.9258,0.616212
1040.4080,0.608643
1040.8900,0.600955
1041.3722,0.593329
1041.8542,0.585927
1042.3364,0.578884
1042.8185,0.572309
1043.3007,0.56629
1043.7827,0.560903
1044.2649,0.556211
1044.7469,0.552255
1045.2291,0.549052
1045.7112,0.54659
1046.1934,0.544841
1046.6754,0.543778
1047.1576,0.543382
1047.6396,0.543654
1048.1218,0.544601
1048.6039,0.546235
1049.0861,0.548568
1049.5681,0.551613
1050.0503,0.555395
1050.5323,0.559949
1051.0145,0.565311
1051.4966,0.571508
1051.9788,0.578557
1052.4608,0.586461
1052.9430,0.595227
1053.4250,0.604871
1053.9072,0.615426
1054.3893,0.626934
1054.8715,0.639437
1055.3535,0.652963
1055.8357,0.667521
1056.3177,0.683096
1056.7999,0.699649
1057.2820,0.717118
1057.7642,0.735417
1058.2462,0.75443
1058.7284,0.773995
1059.2104,0.793888
1059.6926,0.813811
1060.1747,0.833379
1060.6569,0.852121
1061.1389,0.869501
1061.6211,0.884944
1062.1031,0.897882
1062.5853,0.907795
1063.0674,0.914269
1063.5496,0.917038
1064.0316,0.916017
1064.5138,0.911315
1064.9958,0.903228
1065.4780,0.892221
1065.9601,0.878887
1066.4423,0.863903
1066.9243,0.847971
1067.4065,0.831762
1067.8885,0.815874
1068.3707,0.800807
1068.8528,0.786965
1069.3350,0.774652
1069.8170,0.764089
1070.2992,0.755419
1070.7813,0.748712
1071.2634,0.743983
1071.7455,0.741216
1072.2277,0.740393
1072.7097,0.741518
1073.1919,0.744626
1073.6740,0.749776
1074.1561,0.757031
1074.6382,0.766436
1075.1204,0.778022
1075.6024,0.791808
1076.0846,0.807824
1076.5667,0.826124
1077.0488,0.846793
1077.5309,0.869939
1078.0131,0.895696
1078.4951,0.924211
1078.9773,0.95565
1079.4594,0.990193
1079.9415,1.02802
1080.4236,1.06933
1080.9058,1.11427
1081.3878,1.16299
1081.8700,1.21558
1082.3521,1.27209
1082.8342,1.3325
1083.3163,1.39673
1083.7985,1.46468
1084.2805,1.53626
1084.7627,1.61141
1085.2448,1.69009
1085.7269,1.77216
1086.2090,1.85726
1086.6912,1.94463
1087.1732,2.03314
1087.6554,2.1214
1088.1375,2.20808
1088.6196,2.29221
1089.1017,2.37334
1089.5839,2.45147
1090.0659,2.52675
1090.5481,2.59883
1091.0302,2.66595
1091.5123,2.72416
1091.9944,2.76757
1092.4766,2.79076
1092.9586,2.79243
1093.4408,2.77683
1093.9229,2.75101
1094.4050,2.72066
1094.8871,2.68785
1095.3693,2.65131
1095.8513,2.60823
1096.3335,2.55617
1096.8156,2.49423
1097.2977,2.42297
1097.7798,2.34395
1098.2620,2.25928
1098.7440,2.17126
1099.2262,2.08207
1099.7083,1.99338
1100.1904,1.90622
1100.6725,1.82098
1101.1547,1.73776
1101.6367,1.65663
1102.1189,1.5778
1102.6010,1.5016
1103.0831,1.42834
1103.5652,1.35823
1104.0474,1.29134
1104.5294,1.22766
1105.0116,1.16716
1105.4937,1.10985
1105.9758,1.05576
1106.4579,1.00495
1106.9401,0.957419
1107.4221,0.913097
1107.9043,0.871849
1108.3864,0.83349
1108.8685,0.797812
1109.3506,0.764609
1109.8328,0.733689
1110.3148,0.704883
1110.7970,0.678039
1111.2791,0.653019
1111.7612,0.629693
1112.2433,0.607935
1112.7255,0.587627
1113.2075,0.568661
1113.6897,0.55094
1114.1718,0.534375
1114.6539,0.518886
1115.1360,0.504399
