TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,23/01/11
TIME,16:49:31
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.482117
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,  999.9101
LASTX, 7000.3350
NPOINTS,   12447
FIRSTY,     0.57254
MAXY,     1.22001
MINY,     0.02524
XYDATA
999.9101,0.572538
1000.3922,0.569982
1000.8743,0.567145
1001.3564,0.564117
1001.8386,0.560961
1002.3207,0.557687
1002.8028,0.554303
1003.2849,0.550913
1003.7670,0.547792
1004.2491,0.545368
1004.7313,0.544144
1005.2134,0.544607
1005.6955,0.54721
1006.1776,0.552413
1006.6597,0.56072
1007.1418,0.572597
1007.6240,0.588208
1008.1061,0.607019
1008.5882,0.62743
1009.0703,0.646688
1009.5524,0.661342
1010.0345,0.668304
1010.5167,0.666089
1010.9988,0.655438
1011.4809,0.638868
1011.9630,0.61952
1012.4451,0.600098
1012.9272,0.582361
1013.4094,0.567132
1013.8915,0.554568
1014.3736,0.544468
1014.8557,0.536499
1015.3378,0.530323
1015.8199,0.52564
1016.3021,0.522194
1016.7842,0.519775
1017.2663,0.518237
1017.7484,0.51751
1018.2305,0.517612
1018.7126,0.518636
1019.1948,0.52072
1019.6769,0.524023
1020.1590,0.528715
1020.6411,0.535005
1021.1232,0.54317
1021.6053,0.553537
1022.0875,0.566381
1022.5696,0.581747
1023.0517,0.599236
1023.5338,0.617859
1024.0160,0.636077
1024.4980,0.652086
1024.9802,0.664338
1025.4623,0.672126
1025.9445,0.67597
1026.4265,0.677582
1026.9087,0.67938
1027.3907,0.68372
1027.8729,0.692043
1028.3550,0.704102
1028.8372,0.717453
1029.3192,0.727581
1029.8014,0.729162
1030.2834,0.718435
1030.7656,0.695321
1031.2477,0.663507
1031.7299,0.62843
1032.2119,0.594942
1032.6941,0.56607
1033.1761,0.542941
1033.6583,0.525306
1034.1404,0.512203
1034.6226,0.502488
1035.1046,0.495149
1035.5868,0.48942
1036.0688,0.484763
1036.5510,0.48082
1037.0331,0.477373
1037.5153,0.474312
1037.9973,0.471592
1038.4795,0.469189
1038.9615,0.467054
1039.4437,0.465093
1039.9258,0.463184
1040.4080,0.46119
1040.8900,0.458983
1041.3722,0.456458
1041.8542,0.45354
1042.3364,0.450201
1042.8185,0.446456
1043.3007,0.442364
1043.7827,0.437997
1044.2649,0.433427
1044.7469,0.428703
1045.2291,0.423856
1045.7112,0.41891
1046.1934,0.413894
1046.6754,0.408852
1047.1576,0.403833
1047.6396,0.398883
1048.1218,0.394026
1048.6039,0.389257
1049.0861,0.384551
1049.5681,0.379884
1050.0503,0.375255
1050.5323,0.370702
1051.0145,0.366292
1051.4966,0.362098
1051.9788,0.358163
1052.4608,0.354483
1052.9430,0.351018
1053.4250,0.347722
1053.9072,0.344571
1054.3893,0.341575
1054.8715,0.338759
1055.3535,0.336137
1055.8357,0.333693
1056.3177,0.331385
1056.7999,0.329169
1057.2820,0.327023
1057.7642,0.324953
1058.2462,0.322985
1058.7284,0.321138
1059.2104,0.31942
1059.6926,0.317835
1060.1747,0.316395
1060.6569,0.315131
1061.1389,0.31407
1061.6211,0.313217
1062.1031,0.312535
1062.5853,0.311957
1063.0674,0.311429
1063.5496,0.310952
1064.0316,0.310603
1064.5138,0.310516
1064.9958,0.310835
1065.4780,0.311667
1065.9601,0.313057
1066.4423,0.315
1066.9243,0.317472
1067.4065,0.320459
1067.8885,0.323963
1068.3707,0.32797
1068.8528,0.332413
1069.3350,0.337126
1069.8170,0.341829
1070.2992,0.346154
1070.7813,0.349716
1071.2634,0.35221
1071.7455,0.353505
1072.2277,0.353689
1072.7097,0.353055
1073.1919,0.352016
1073.6740,0.351013
1074.1561,0.350425
1074.6382,0.350539
1075.1204,0.351551
1075.6024,0.3536
1076.0846,0.356796
1076.5667,0.361241
1077.0488,0.367033
1077.5309,0.374255
1078.0131,0.382936
1078.4951,0.392998
1078.9773,0.404165
1079.4594,0.415875
1079.9415,0.42721
1080.4236,0.436926
1080.9058,0.443601
1081.3878,0.445929
1081.8700,0.443069
1082.3521,0.434929
1082.8342,0.42222
1083.3163,0.406257
1083.7985,0.38859
1084.2805,0.370654
1084.7627,0.353531
1085.2448,0.337873
1085.7269,0.323955
1086.2090,0.311789
1086.6912,0.301242
1087.1732,0.29213
1087.6554,0.284266
1088.1375,0.277476
1088.6196,0.271598
1089.1017,0.266487
1089.5839,0.262025
1090.0659,0.258128
1090.5481,0.254742
1091.0302,0.251826
1091.5123,0.249326
1091.9944,0.247166
1092.4766,0.245264
1092.9586,0.243547
1093.4408,0.241978
1093.9229,0.240551
1094.4050,0.239268
1094.8871,0.238109
1095.3693,0.237027
1095.8513,0.235965
1096.3335,0.234901
1096.8156,0.233871
1097.2977,0.232965
1097.7798,0.232287
1098.2620,0.231902
1098.7440,0.231809
1099.2262,0.231952
1099.7083,0.232247
1100.1904,0.232624
1100.6725,0.233046
1101.1547,0.233511
1101.6367,0.234042
1102.1189,0.234675
1102.6010,0.235447
1103.0831,0.236389
1103.5652,0.237498
1104.0474,0.238728
1104.5294,0.239979
1105.0116,0.241105
1105.4937,0.241944
1105.9758,0.24234
1106.4579,0.242173
1106.9401,0.241367
1107.4221,0.239908
1107.9043,0.237842
1108.3864,0.235271
1108.8685,0.232335
1109.3506,0.229181
1109.8328,0.225941
1110.3148,0.22272
1110.7970,0.219602
1111.2791,0.216652
1111.7612,0.213919
1112.2433,0.211429
1112.7255,0.20917
1113.2075,0.207103
1113.6897,0.205178
1114.1718,0.203366
1114.6539,0.201668
1115.1360,0.200115
