TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	26/02/12
TIME	12:23:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-730, Rev. 1.00
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	1000
LASTX	500
NPOINTS	1001
FIRSTY	-0.0983645
MAXY	-0.0445364
MINY	-0.0983645
XYDATA
869	-0.0894952
868.5	-0.0894564
868	-0.0894115
867.5	-0.0893681
867	-0.0893221
866.5	-0.0892745
866	-0.0892364
865.5	-0.0891954
865	-0.0891657
864.5	-0.0891135
864	-0.0890575
863.5	-0.0890138
863	-0.0889772
862.5	-0.088929
862	-0.0888738
861.5	-0.088821
861	-0.0887794
860.5	-0.0887437
860	-0.0886995
859.5	-0.0886629
859	-0.0886116
858.5	-0.0885784
858	-0.0885222
857.5	-0.0884844
857	-0.0884448
856.5	-0.0884105
856	-0.0883834
855.5	-0.0883343
855	-0.0882904
854.5	-0.0882352
854	-0.0881924
853.5	-0.088142
853	-0.088103
852.5	-0.0880512
852	-0.0879985
851.5	-0.0879559
851	-0.0879252
850.5	-0.0878971
850	-0.0878549
849.5	-0.0878157
849	-0.087775
848.5	-0.0877357
848	-0.087694
847.5	-0.0876544
847	-0.0876019
846.5	-0.0875509
846	-0.0874936
845.5	-0.0874686
845	-0.0874353
844.5	-0.0874037
844	-0.0873544
843.5	-0.0873243
843	-0.0872838
842.5	-0.0872531
842	-0.0872076
841.5	-0.0871732
841	-0.0871241
840.5	-0.0870793
840	-0.0870413
839.5	-0.0870056
839	-0.0869713
838.5	-0.0869278
838	-0.0868919
837.5	-0.0868557
837	-0.086826
836.5	-0.0867886
836	-0.0867472
835.5	-0.086713
835	-0.0866862
834.5	-0.0866459
834	-0.0866235
833.5	-0.0865795
833	-0.0865383
832.5	-0.0865
832	-0.0864716
831.5	-0.0864477
831	-0.0864042
830.5	-0.086368
830	-0.0863217
829.5	-0.0863097
829	-0.0862764
828.5	-0.0862498
828	-0.0862133
827.5	-0.0861813
827	-0.0861514
826.5	-0.0861152
826	-0.0860823
825.5	-0.0860472
825	-0.0860164
824.5	-0.0859913
824	-0.0859566
823.5	-0.0859203
823	-0.0858871
822.5	-0.0858563
822	-0.0858284
821.5	-0.0858036
821	-0.0857739
820.5	-0.0857438
820	-0.0857019
819.5	-0.0856675
819	-0.0856413
818.5	-0.0856284
818	-0.0856037
817.5	-0.0855742
817	-0.0855478
816.5	-0.0855065
816	-0.0854842
815.5	-0.0854467
815	-0.0854292
814.5	-0.0853972
814	-0.0853719
813.5	-0.0853412
813	-0.0853261
812.5	-0.0853126
812	-0.0852893
811.5	-0.08525
811	-0.0852185
810.5	-0.0851828
810	-0.0851674
809.5	-0.0851427
809	-0.0851197
808.5	-0.085096
808	-0.0850692
807.5	-0.0850466
807	-0.0850283
806.5	-0.085004
806	-0.0849711
805.5	-0.0849389
805	-0.0849146
804.5	-0.0848969
804	-0.0848745
803.5	-0.0848476
803	-0.0848245
802.5	-0.084803
802	-0.0847825
801.5	-0.0847594
801	-0.0847296
800.5	-0.0847146
800	-0.0846849
799.5	-0.084651
799	-0.0846207
798.5	-0.0845936
798	-0.0845692
797.5	-0.0845398
797	-0.0845184
796.5	-0.0844871
796	-0.0844593
795.5	-0.0844335
795	-0.0843991
794.5	-0.0843806
794	-0.0843639
793.5	-0.0843504
793	-0.0843272
792.5	-0.0842933
792	-0.0842629
791.5	-0.0842388
791	-0.084213
790.5	-0.0841865
790	-0.0841582
789.5	-0.0841372
789	-0.0841073
788.5	-0.0840849
788	-0.08406
787.5	-0.0840395
787	-0.0840141
786.5	-0.0839976
786	-0.0839672
785.5	-0.0839422
785	-0.0839142
784.5	-0.0838928
784	-0.0838652
783.5	-0.0838485
783	-0.0838231
782.5	-0.0838042
782	-0.083773
781.5	-0.0837478
781	-0.0837185
780.5	-0.0836802
780	-0.0836529
779.5	-0.0836145
779	-0.083594
778.5	-0.0835667
778	-0.0835523
777.5	-0.0835164
777	-0.0834871
776.5	-0.0834576
776	-0.0834295
775.5	-0.0834088
775	-0.0833755
774.5	-0.0833459
774	-0.0833335
773.5	-0.0833196
773	-0.0832967
772.5	-0.0832681
772	-0.0832377
771.5	-0.0832105
771	-0.0831754
770.5	-0.0831445
770	-0.0831188
769.5	-0.0830796
769	-0.0830566
768.5	-0.0830337
768	-0.0830056
767.5	-0.0829754
767	-0.0829469
766.5	-0.0829154
766	-0.0828955
765.5	-0.0828627
765	-0.0828299
764.5	-0.0827917
764	-0.0827692
763.5	-0.0827456
763	-0.0827199
762.5	-0.0826878
762	-0.0826473
761.5	-0.0826212
761	-0.082586
760.5	-0.0825517
760	-0.0825211
759.5	-0.082489
759	-0.0824634
758.5	-0.0824309
758	-0.082398
757.5	-0.0823648
757	-0.0823219
756.5	-0.0822826
756	-0.0822437
755.5	-0.0822085
755	-0.0821681
754.5	-0.0821243
754	-0.0820803
753.5	-0.0820534
753	-0.0820098
752.5	-0.0819735
752	-0.0819246
751.5	-0.0818643
751	-0.0818161
750.5	-0.0817646
750	-0.081721
749.5	-0.0816708
749	-0.081601
748.5	-0.0815387
748	-0.0814637
747.5	-0.0814009
747	-0.0813309
746.5	-0.0812567
746	-0.0811904
745.5	-0.0811033
745	-0.0810158
744.5	-0.0809172
744	-0.0808195
743.5	-0.0807166
743	-0.0805972
742.5	-0.0804741
742	-0.0803249
741.5	-0.0801731
741	-0.0799946
740.5	-0.0797969
740	-0.0795743
739.5	-0.0793374
739	-0.079075
738.5	-0.0787726
738	-0.0784351
737.5	-0.0780488
737	-0.0776065
736.5	-0.0771093
736	-0.0765422
735.5	-0.0758684
735	-0.0750981
734.5	-0.074192
734	-0.0731244
