TITLE,G1-1
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/03/17
TIME,13:28:06
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  545.3755
LASTX, 1597.6329
NPOINTS,    1024
XYDATA
958.4843,287
959.5400,281
960.5953,282
961.6505,286
962.7054,284
963.7602,283
964.8147,284
965.8690,282
966.9230,281
967.9769,291
969.0305,284
970.0839,289
971.1371,289
972.1901,300
973.2428,298
974.2953,299
975.3477,303
976.3997,306
977.4516,303
978.5032,297
979.5546,298
980.6058,289
981.6568,290
982.7076,285
983.7581,285
984.8084,284
985.8585,281
986.9084,280
987.9581,280
989.0075,284
990.0568,283
991.1057,279
992.1545,278
993.2031,279
994.2514,284
995.2996,283
996.3475,281
997.3951,280
998.4426,283
999.4899,280
1000.5369,285
1001.5837,284
1002.6303,284
1003.6766,287
1004.7228,283
1005.7687,287
1006.8145,283
1007.8600,287
1008.9052,283
1009.9503,283
1010.9951,281
1012.0397,286
1013.0842,292
1014.1284,295
1015.1723,298
1016.2161,298
1017.2596,299
1018.3029,304
1019.3460,294
1020.3889,294
1021.4315,293
1022.4740,293
1023.5162,287
1024.5582,287
1025.6000,286
1026.6416,279
1027.6829,281
1028.7240,280
1029.7650,287
1030.8057,277
1031.8462,281
1032.8864,282
1033.9265,282
1034.9663,279
1036.0059,279
1037.0453,280
1038.0845,282
1039.1234,278
1040.1622,280
1041.2007,279
1042.2390,278
1043.2771,279
1044.3149,280
1045.3527,283
1046.3901,275
1047.4274,279
1048.4644,280
1049.5011,279
1050.5377,283
1051.5741,282
1052.6102,280
1053.6461,280
1054.6819,279
1055.7174,281
1056.7527,280
1057.7877,281
1058.8225,280
1059.8572,282
1060.8916,279
1061.9258,281
1062.9598,279
1063.9935,279
1065.0271,279
1066.0604,280
1067.0936,279
1068.1265,281
1069.1592,280
1070.1917,283
1071.2239,277
1072.2560,281
1073.2877,279
1074.3193,283
1075.3508,281
1076.3820,283
1077.4130,288
1078.4437,290
1079.4742,289
1080.5045,292
1081.5347,291
1082.5646,291
1083.5942,295
1084.6238,291
1085.6530,293
1086.6820,293
1087.7108,291
1088.7395,289
1089.7678,288
1090.7960,288
1091.8240,290
1092.8517,291
1093.8793,285
1094.9066,291
1095.9337,284
1096.9606,288
1097.9873,287
1099.0138,290
1100.0400,287
1101.0660,288
1102.0919,292
1103.1174,288
1104.1429,292
1105.1681,287
1106.1930,289
1107.2178,291
1108.2423,291
1109.2667,288
1110.2908,285
1111.3147,285
1112.3384,290
1113.3619,290
1114.3851,288
1115.4082,291
1116.4310,284
1117.4536,284
1118.4761,285
1119.4983,288
1120.5203,283
1121.5420,289
1122.5636,285
1123.5850,280
1124.6061,286
1125.6271,290
1126.6477,284
1127.6682,286
1128.6885,283
1129.7086,284
1130.7285,283
1131.7482,290
1132.7676,285
1133.7867,283
1134.8058,288
1135.8246,283
1136.8431,286
1137.8616,289
1138.8798,285
1139.8977,288
1140.9154,286
1141.9330,285
1142.9503,287
1143.9674,289
1144.9843,285
1146.0010,291
1147.0175,290
1148.0337,292
1149.0498,294
1150.0657,291
1151.0813,295
1152.0967,292
1153.1119,288
1154.1270,295
1155.1417,299
1156.1563,298
1157.1707,306
1158.1848,314
1159.1987,311
1160.2124,318
1161.2260,321
1162.2393,323
1163.2524,333
1164.2653,331
1165.2780,340
1166.2904,347
1167.3027,346
1168.3147,347
1169.3265,352
1170.3383,339
1171.3496,331
1172.3608,319
1173.3718,316
1174.3826,311
1175.3932,308
1176.4036,305
1177.4137,295
1178.4237,299
1179.4335,293
1180.4430,291
1181.4523,294
1182.4614,293
1183.4703,295
1184.4790,295
1185.4874,292
1186.4957,290
1187.5038,291
1188.5116,291
1189.5193,294
1190.5267,287
1191.5339,294
1192.5410,289
1193.5477,291
1194.5544,291
1195.5608,289
1196.5670,293
1197.5730,292
1198.5787,294
1199.5842,290
1200.5896,290
1201.5947,291
1202.5997,293
1203.6044,293
1204.6089,293
1205.6133,296
1206.6173,292
1207.6212,291
1208.6249,297
1209.6284,293
1210.6316,291
1211.6346,297
