TITLE,C2
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/12/03
TIME,18:17:53
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  545.6195
LASTX, 1597.8412
NPOINTS,    1024
XYDATA
960.8251,569.5
961.8802,575.5
962.9351,571
963.9898,586
965.0443,571.5
966.0985,573
967.1526,587
968.2064,582
969.2599,587
970.3134,602.5
971.3665,612.5
972.4194,643
973.4721,678.5
974.5246,711.5
975.5768,715.5
976.6289,709.5
977.6807,685.5
978.7324,650.5
979.7838,629.5
980.8349,599.5
981.8858,590
982.9366,580
983.9871,579.5
985.0374,579
986.0874,582
987.1373,578
988.1869,574.5
989.2363,575.5
990.2855,576.5
991.3344,578.5
992.3832,575
993.4317,576.5
994.4800,570.5
995.5281,577.5
996.5760,573
997.6237,576
998.6711,583.5
999.7183,588.5
1000.7653,587.5
1001.8120,595.5
1002.8586,603
1003.9049,604.5
1004.9510,600
1005.9969,590
1007.0426,588
1008.0881,589
1009.1333,581
1010.1783,589.5
1011.2231,584
1012.2678,590
1013.3121,592
1014.3563,592
1015.4002,612
1016.4439,628
1017.4874,648
1018.5307,661.5
1019.5737,668.5
1020.6166,640.5
1021.6592,631
1022.7016,614.442
1023.7438,596.37
1024.7858,608
1025.8275,585.5
1026.8690,582.5
1027.9104,564
1028.9514,569
1029.9923,574
1031.0330,572.5
1032.0735,568.5
1033.1136,574.5
1034.1537,565.5
1035.1935,573
1036.2330,575
1037.2725,578
1038.3115,565.5
1039.3505,570
1040.3892,568
1041.4277,572.5
1042.4659,562.5
1043.5040,568
1044.5419,567.5
1045.5795,564
1046.6169,570.5
1047.6541,565
1048.6910,568
1049.7278,575
1050.7644,570
1051.8007,574
1052.8368,571
1053.8727,568
1054.9084,572
1055.9438,569.5
1056.9791,564
1058.0142,563
1059.0490,573.5
1060.0835,562.5
1061.1179,570
1062.1521,563
1063.1860,571.5
1064.2197,570
1065.2533,573
1066.2866,568.5
1067.3197,571
1068.3525,570.5
1069.3853,575
1070.4176,573
1071.4498,572
1072.4819,579.5
1073.5137,573.5
1074.5453,577
1075.5767,576.5
1076.6078,573.5
1077.6387,581.5
1078.6694,582
1079.7000,588
1080.7302,598.5
1081.7603,617
1082.7902,632.5
1083.8198,640
1084.8492,638
1085.8784,617
1086.9075,610.5
1087.9363,600.5
1088.9648,594
1089.9932,597.5
1091.0214,587.5
1092.0493,600
1093.0770,594
1094.1045,594.5
1095.1318,592.5
1096.1588,597
1097.1857,600
1098.2124,613.5
1099.2388,604.5
1100.2650,611
1101.2910,605
1102.3168,607
1103.3424,604.5
1104.3678,603.5
1105.3929,604
1106.4178,606
1107.4425,609
1108.4670,609
1109.4913,602.5
1110.5155,597.5
1111.5393,600.5
1112.5630,591
1113.5864,593
1114.6096,598
1115.6327,590.5
1116.6555,591.5
1117.6781,596
1118.7004,594.5
1119.7227,590
1120.7446,599.5
1121.7664,586.5
1122.7878,591
1123.8092,588
1124.8303,580.5
1125.8512,588.5
1126.8718,598.5
1127.8923,587.5
1128.9126,594
1129.9326,596.5
1130.9524,595
1131.9720,596
1132.9915,595
1134.0106,592.5
1135.0297,605
1136.0483,587
1137.0669,592.5
1138.0853,600.5
1139.1034,603.5
1140.1213,594
1141.1390,602
1142.1566,595.5
1143.1738,603
1144.1909,598
1145.2078,610.5
1146.2245,600.5
1147.2408,615
1148.2571,598.5
1149.2732,606.5
1150.2889,611.5
1151.3046,609
1152.3199,612.5
1153.3351,613.5
1154.3501,623.5
1155.3649,617
1156.3794,631
1157.3937,632.5
1158.4078,636.5
1159.4218,641.5
1160.4354,648.5
1161.4489,666.5
1162.4622,684.5
1163.4752,719
1164.4882,750
1165.5007,779
1166.5132,819.5
1167.5254,881.5
1168.5375,921.5
1169.5492,956.5
1170.5608,936
1171.5723,894
1172.5834,823.5
1173.5944,749
1174.6051,714
1175.6156,676
1176.6260,664.5
1177.6361,652.5
1178.6460,638
1179.6558,632.5
1180.6653,629.5
1181.6746,629.5
1182.6836,624
1183.6925,622.5
1184.7012,629
1185.7096,622
1186.7178,621.5
1187.7258,621
1188.7336,615.5
1189.7412,620
1190.7487,611
1191.7559,609
1192.7628,611.5
1193.7697,617.5
1194.7762,612
1195.7826,626
1196.7887,624
1197.7947,621.5
1198.8004,616.5
1199.8059,614
1200.8112,615
1201.8163,619.5
1202.8212,614.5
1203.8259,614
1204.8303,612.5
1205.8346,611
1206.8387,619
1207.8425,610
1208.8462,617.5
1209.8496,613
1210.8529,617.5
1211.8560,621
1212.8588,612
1213.8613,618
1214.8638,620.5
1215.8660,627.5
1216.8679,626.5
1217.8698,629.5
1218.8712,620.5
1219.8727,624
1220.8738,623.5
1221.8748,633.5
1222.8755,632.5
1223.8760,632.5
1224.8763,634
1225.8765,631
1226.8763,628.5
1227.8761,628
1228.8755,636.5
1229.8749,634
1230.8739,635.5
1231.8728,639.5
1232.8715,651
1233.8699,649
1234.8682,660
1235.8662,671
1236.8640,663.5
1237.8617,674
1238.8591,670
1239.8563,661.5
1240.8534,659.5
1241.8501,655.5
1242.8468,654.5
1243.8431,644
1244.8394,644
1245.8353,643
1246.8311,645.5
1247.8267,639
1248.8220,641
1249.8171,642
1250.8121,644
1251.8069,639.5
1252.8014,647.5
1253.7958,645
1254.7899,654.5
1255.7838,642.5
1256.7775,656.5
1257.7710,660.5
1258.7643,666
1259.7574,673
1260.7504,676
1261.7430,683.5
1262.7355,684.5
1263.7278,703
1264.7198,700.5
1265.7117,716
1266.7034,740
1267.6948,751.5
1268.6860,788.5
1269.6771,830
1270.6680,875.5
1271.6586,932
1272.6490,998.5
1273.6393,1063
1274.6293,1069
1275.6191,1045.5
1276.6086,989.5
1277.5981,910.5
1278.5873,840.5
1279.5763,784.5
1280.5651,753.5
1281.5537,743
1282.5421,734
1283.5303,732
1284.5182,726
1285.5060,715.5
1286.4935,704
1287.4810,706.5
1288.4681,692
1289.4551,693
1290.4418,689
1291.4283,688.5
1292.4147,691
1293.4009,678.5
1294.3867,671.5
1295.3724,684.5
1296.3580,677.5
1297.3434,668.5
1298.3285,659.5
1299.3134,658
1300.2981,657.5
1301.2826,656
1302.2670,655
1303.2510,649.5
1304.2349,651
1305.2186,658
1306.2021,644.5
1307.1854,657
1308.1685,653
1309.1514,654
1310.1340,646
1311.1166,651
1312.0989,650.5
1313.0809,662
1314.0627,659
1315.0444,669.5
1316.0259,660
1317.0072,652.5
1317.9882,660
1318.9691,650.5
1319.9497,653
1320.9302,652
1321.9104,648.5
1322.8905,646
1323.8704,652
1324.8500,652
1325.8293,651
1326.8086,646
1327.7877,648.5
1328.7665,659.5
1329.7451,653
1330.7236,656.5
1331.7018,663
1332.6798,667
1333.6577,672.5
1334.6353,681
1335.6127,674
1336.5900,681.5
1337.5669,684.5
1338.5437,687.5
1339.5204,694
1340.4968,682.5
1341.4730,694
1342.4490,694.5
1343.4248,693
1344.4004,696.5
1345.3759,696.5
1346.3511,699
1347.3260,691.5
1348.3009,689
1349.2754,670
1350.2499,675.5
1351.2240,667.5
1352.1980,668.5
1353.1719,680.5
1354.1455,667
1355.1189,669.5
1356.0920,670
1357.0651,665.5
1358.0378,675
1359.0104,673.5
1359.9828,680.5
1360.9551,676
1361.9270,679
1362.8988,684
1363.8704,673.5
1364.8418,678
1365.8130,676.5
1366.7839,657
1367.7548,658
1368.7253,655.5
1369.6958,660.5
1370.6659,658.5
1371.6360,661
1372.6057,658
1373.5753,654.5
1374.5447,647.5
1375.5139,652
1376.4829,646.5
1377.4517,644.5
1378.4203,646
1379.3887,654.5
1380.3569,652.5
1381.3248,656.5
1382.2927,648
1383.2603,650.5
1384.2277,658
1385.1948,654
1386.1619,653.5
1387.1287,653
1388.0953,651.5
1389.0616,657
1390.0278,653
1390.9939,654.5
1391.9597,645
1392.9253,649.5
1393.8907,647.5
1394.8560,657.5
1395.8209,654.5
1396.7858,660
1397.7504,657.5
1398.7147,659.5
1399.6790,658.5
1400.6431,664
1401.6068,658
1402.5704,666.5
1403.5339,657
1404.4971,665.5
1405.4601,662
1406.4230,661
1407.3856,664.5
1408.3480,659
1409.3103,662.5
1410.2723,670.5
1411.2341,667
1412.1958,669.5
1413.1572,674.5
1414.1184,669
1415.0795,676.5
1416.0404,667
1417.0010,663
1417.9614,679.5
1418.9218,668.5
1419.8818,671.5
1420.8417,676.5
1421.8013,670.5
1422.7607,679
1423.7201,679
1424.6791,673.5
1425.6379,690
1426.5967,674
1427.5552,676
1428.5134,666
1429.4716,670.5
1430.4294,682.5
1431.3871,674.5
1432.3446,684.5
1433.3019,679.5
1434.2590,681
1435.2159,682.5
1436.1726,679
1437.1292,687.5
1438.0854,681
1439.0416,678
1439.9976,685
1440.9532,683
1441.9088,680.5
1442.8641,682.5
1443.8192,680.5
1444.7742,687.5
1445.7289,679.5
1446.6835,676.5
1447.6378,688.5
1448.5920,681
1449.5459,692
1450.4998,694
1451.4532,693.5
1452.4066,706.5
1453.3599,704
1454.3129,700
1455.2656,694
1456.2181,697
1457.1705,690
1458.1228,693.5
1459.0748,700.5
1460.0266,697.5
1460.9783,694
1461.9297,706
1462.8809,698.5
1463.8319,703.5
1464.7827,707.5
1465.7334,704.5
1466.6838,703.5
1467.6340,716
1468.5841,710.5
1469.5339,718
1470.4836,714
1471.4331,721
1472.3823,712.5
1473.3314,713.5
1474.2803,707
1475.2290,711
1476.1775,708.5
1477.1257,716
1478.0739,707
