TITLE,G1-1
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/03/17
TIME,14:03:06
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  545.3755
LASTX, 1597.6329
NPOINTS,    1024
XYDATA
958.4843,285
959.5400,278
960.5953,281
961.6505,282
962.7054,289
963.7602,285
964.8147,280
965.8690,285
966.9230,284
967.9769,288
969.0305,284
970.0839,283
971.1371,289
972.1901,295
973.2428,294
974.2953,299
975.3477,304
976.3997,308
977.4516,303
978.5032,299
979.5546,294
980.6058,298
981.6568,287
982.7076,286
983.7581,282
984.8084,282
985.8585,287
986.9084,282
987.9581,280
989.0075,279
990.0568,280
991.1057,280
992.1545,282
993.2031,288
994.2514,287
995.2996,286
996.3475,276
997.3951,280
998.4426,285
999.4899,283
1000.5369,284
1001.5837,289
1002.6303,289
1003.6766,290
1004.7228,286
1005.7687,288
1006.8145,278
1007.8600,284
1008.9052,287
1009.9503,291
1010.9951,285
1012.0397,286
1013.0842,290
1014.1284,296
1015.1723,302
1016.2161,306
1017.2596,313
1018.3029,316
1019.3460,304
1020.3889,305
1021.4315,301
1022.4740,292
1023.5162,290
1024.5582,285
1025.6000,287
1026.6416,286
1027.6829,281
1028.7240,281
1029.7650,282
1030.8057,279
1031.8462,278
1032.8864,280
1033.9265,283
1034.9663,276
1036.0059,279
1037.0453,282
1038.0845,276
1039.1234,281
1040.1622,281
1041.2007,281
1042.2390,276
1043.2771,280
1044.3149,285
1045.3527,278
1046.3901,279
1047.4274,281
1048.4644,274
1049.5011,278
1050.5377,277
1051.5741,281
1052.6102,279
1053.6461,281
1054.6819,280
1055.7174,280
1056.7527,277
1057.7877,278
1058.8225,278
1059.8572,279
1060.8916,279
1061.9258,279
1062.9598,284
1063.9935,282
1065.0271,283
1066.0604,279
1067.0936,282
1068.1265,281
1069.1592,278
1070.1917,274
1071.2239,278
1072.2560,279
1073.2877,277
1074.3193,278
1075.3508,278
1076.3820,276
1077.4130,279
1078.4437,283
1079.4742,286
1080.5045,289
1081.5347,290
1082.5646,291
1083.5942,294
1084.6238,291
1085.6530,295
1086.6820,285
1087.7108,289
1088.7395,289
1089.7678,286
1090.7960,291
1091.8240,289
1092.8517,293
1093.8793,285
1094.9066,283
1095.9337,288
1096.9606,285
1097.9873,282
1099.0138,283
1100.0400,291
1101.0660,287
1102.0919,287
1103.1174,291
1104.1429,292
1105.1681,290
1106.1930,291
1107.2178,290
1108.2423,292
1109.2667,286
1110.2908,291
1111.3147,286
1112.3384,284
1113.3619,287
1114.3851,286
1115.4082,290
1116.4310,287
1117.4536,285
1118.4761,286
1119.4983,291
1120.5203,285
1121.5420,287
1122.5636,285
1123.5850,283
1124.6061,282
1125.6271,283
1126.6477,288
1127.6682,282
1128.6885,283
1129.7086,284
1130.7285,285
1131.7482,282
1132.7676,285
1133.7867,287
1134.8058,292
1135.8246,286
1136.8431,289
1137.8616,283
1138.8798,292
1139.8977,283
1140.9154,287
1141.9330,286
1142.9503,287
1143.9674,289
1144.9843,290
1146.0010,288
1147.0175,290
1148.0337,288
1149.0498,296
1150.0657,291
1151.0813,293
1152.0967,291
1153.1119,299
1154.1270,297
1155.1417,291
1156.1563,297
1157.1707,302
1158.1848,303
1159.1987,311
1160.2124,314
1161.2260,324
1162.2393,334
1163.2524,330
1164.2653,328
1165.2780,338
1166.2904,336
1167.3027,340
1168.3147,337
1169.3265,338
1170.3383,329
1171.3496,320
1172.3608,318
1173.3718,311
1174.3826,311
1175.3932,308
1176.4036,296
1177.4137,298
1178.4237,300
1179.4335,300
1180.4430,289
1181.4523,290
1182.4614,291
1183.4703,287
1184.4790,292
1185.4874,291
1186.4957,293
1187.5038,287
1188.5116,290
1189.5193,291
1190.5267,284
1191.5339,292
1192.5410,290
1193.5477,289
1194.5544,294
1195.5608,288
1196.5670,290
1197.5730,292
1198.5787,292
1199.5842,290
1200.5896,285
1201.5947,296
1202.5997,289
1203.6044,294
1204.6089,290
1205.6133,292
1206.6173,293
1207.6212,289
1208.6249,292
1209.6284,293
1210.6316,294
1211.6346,289
1212.6376,288
1213.6401,293
1214.6426,293
1215.6449,298
1216.6469,294
1217.6487,293
1218.6503,290
1219.6516,293
1220.6528,293
1221.6538,297
1222.6547,293
1223.6552,296
1224.6555,294
1225.6556,295
1226.6556,294
1227.6554,296
1228.6549,292
1229.6542,299
1230.6533,300
1231.6522,301
1232.6509,298
1233.6494,305
1234.6477,301
1235.6458,305
1236.6437,304
1237.6414,305
1238.6388,301
1239.6360,301
1240.6331,301
1241.6299,305
1242.6266,305
1243.6230,304
1244.6193,303
1245.6152,300
1246.6111,299
1247.6067,297
1248.6021,300
1249.5972,295
1250.5922,298
1251.5870,297
1252.5815,306
1253.5759,300
1254.5701,304
1255.5641,307
1256.5577,303
1257.5514,309
1258.5447,315
1259.5378,310
1260.5308,315
1261.5234,323
1262.5160,318
1263.5083,330
1264.5004,333
1265.4923,334
1266.4840,345.5
1267.4755,357
1268.4668,366
1269.4579,375
1270.4487,379
1271.4393,388
1272.4298,397
1273.4200,402
1274.4102,391
1275.4000,386
1276.3896,380
1277.3792,368
1278.3683,358
1279.3573,345
1280.3462,340
1281.3348,332
1282.3232,324
1283.3114,322
1284.2994,323
1285.2872,321
