TITLE,test
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,test
DATE,26/02/12
TIME,12:35:27
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,1.92847
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  998.9459
LASTX, 6001.3891
NPOINTS,    2595
FIRSTY,   153.61505
MAXY,   345.14767
MINY,   142.47850
XYDATA
1573.6290,165.047
1575.5575,165.008
1577.4860,164.855
1579.4144,164.648
1581.3429,164.459
1583.2714,164.334
1585.1998,164.289
1587.1283,164.313
1589.0568,164.382
1590.9852,164.467
1592.9137,164.547
1594.8422,164.616
1596.7706,164.677
1598.6991,164.738
1600.6276,164.806
1602.5560,164.881
1604.4845,164.966
1606.4130,165.068
1608.3414,165.198
1610.2699,165.365
1612.1984,165.573
1614.1268,165.807
1616.0553,166.037
1617.9838,166.218
1619.9122,166.312
1621.8407,166.315
1623.7692,166.264
1625.6976,166.226
1627.6261,166.259
1629.5546,166.396
1631.4830,166.619
1633.4115,166.859
1635.3400,167.027
1637.2684,167.078
1639.1969,167.062
1641.1254,167.091
1643.0538,167.273
1644.9823,167.664
1646.9108,168.233
1648.8392,168.823
1650.7677,169.175
1652.6962,169.102
1654.6246,168.68
1656.5531,168.156
1658.4816,167.735
1660.4100,167.508
1662.3385,167.49
1664.2670,167.655
1666.1954,167.939
1668.1239,168.242
1670.0524,168.462
1671.9808,168.553
1673.9093,168.569
1675.8378,168.615
1677.7662,168.774
1679.6947,169.045
1681.6232,169.332
1683.5516,169.486
1685.4801,169.426
1687.4086,169.233
1689.3370,169.082
1691.2655,169.124
1693.1940,169.425
1695.1224,169.949
1697.0509,170.528
1698.9794,170.883
1700.9078,170.805
1702.8363,170.369
1704.7648,169.849
1706.6932,169.467
1708.6217,169.322
1710.5502,169.417
1712.4786,169.692
1714.4071,170.014
1716.3356,170.202
1718.2640,170.135
1720.1925,169.863
1722.1210,169.561
1724.0494,169.387
1725.9779,169.421
1727.9064,169.672
1729.8348,170.082
1731.7633,170.524
1733.6918,170.838
1735.6202,170.931
1737.5487,170.85
1739.4772,170.723
1741.4056,170.654
1743.3341,170.676
1745.2626,170.762
1747.1910,170.856
1749.1195,170.904
1751.0480,170.888
1752.9764,170.826
1754.9049,170.75
1756.8334,170.685
1758.7618,170.65
1760.6903,170.661
1762.6188,170.74
1764.5472,170.903
1766.4757,171.145
1768.4042,171.418
1770.3326,171.644
1772.2611,171.744
1774.1896,171.699
1776.1180,171.561
1778.0465,171.417
1779.9750,171.335
1781.9034,171.345
1783.8319,171.441
1785.7604,171.6
1787.6888,171.793
1789.6173,171.989
1791.5458,172.157
1793.4742,172.276
1795.4027,172.333
1797.3312,172.337
1799.2596,172.308
1801.1881,172.273
1803.1166,172.254
1805.0450,172.26
1806.9735,172.292
1808.9020,172.339
1810.8304,172.388
1812.7589,172.432
1814.6874,172.471
1816.6158,172.521
1818.5443,172.607
1820.4728,172.748
1822.4012,172.945
1824.3297,173.17
1826.2582,173.367
1828.1866,173.476
1830.1151,173.475
1832.0436,173.401
1833.9720,173.326
1835.9005,173.316
1837.8290,173.402
1839.7574,173.566
1841.6859,173.75
1843.6144,173.883
1845.5428,173.916
1847.4713,173.86
1849.3998,173.763
1851.3282,173.677
1853.2567,173.632
1855.1852,173.634
1857.1136,173.682
1859.0421,173.777
1860.9706,173.923
1862.8990,174.115
1864.8275,174.324
1866.7560,174.502
1868.6844,174.601
1870.6129,174.609
1872.5414,174.555
1874.4698,174.496
1876.3983,174.474
1878.3268,174.507
1880.2552,174.59
1882.1837,174.705
1884.1122,174.836
1886.0406,174.971
1887.9691,175.102
1889.8976,175.217
1891.8260,175.306
1893.7545,175.366
1895.6830,175.405
1897.6115,175.442
1899.5399,175.494
1901.4684,175.57
1903.3969,175.667
1905.3253,175.776
1907.2538,175.887
1909.1823,176
1911.1107,176.117
1913.0392,176.244
1914.9677,176.38
1916.8961,176.51
1918.8246,176.616
1920.7531,176.686
1922.6815,176.72
1924.6100,176.731
1926.5385,176.736
1928.4669,176.752
1930.3954,176.789
1932.3239,176.853
1934.2523,176.946
1936.1808,177.066
1938.1093,177.204
1940.0377,177.341
1941.9662,177.456
1943.8947,177.534
1945.8231,177.579
1947.7516,177.607
1949.6801,177.638
1951.6085,177.684
1953.5370,177.747
1955.4655,177.821
1957.3939,177.902
1959.3224,177.991
1961.2509,178.087
1963.1793,178.189
